year,source,target,value,unit
2022,Power plants,Losses,1222,PJ
2022,Refineries,Refined fuels,1843,PJ
2022,Refineries,Losses,175,PJ
2022,Heat plants,District heat,824,PJ
2022,Heat plants,Losses,281,PJ
2022,Electricity,Grid,2037,PJ
2022,Grid,Industry,640,PJ
2022,Grid,Transport,136,PJ
2022,Grid,Residential,601,PJ
2022,Grid,Commercial,504,PJ
2022,Grid,Losses,155,PJ
2022,Refined fuels,Transport,1086,PJ
2022,Refined fuels,Industry,272,PJ
2022,Refined fuels,Residential,194,PJ
2022,Refined fuels,Commercial,146,PJ
2022,Refined fuels,Exports,146,PJ
2022,District heat,Industry,194,PJ
2022,District heat,Residential,369,PJ
2022,District heat,Commercial,213,PJ
2022,District heat,Losses,48,PJ
2023,Domestic extraction,Power plants,2000,PJ
2023,Domestic extraction,Refineries,1400,PJ
2023,Domestic extraction,Heat plants,380,PJ
2023,Domestic extraction,Industry,480,PJ
2023,Domestic extraction,Exports,280,PJ
2023,Domestic extraction,Non-energy use,380,PJ
2023,Imports,Power plants,580,PJ
2023,Imports,Refineries,680,PJ
2023,Imports,Industry,190,PJ
2023,Imports,Exports,90,PJ
2023,Imports,Non-energy use,180,PJ
2023,Renewables,Power plants,780,PJ
2023,Renewables,Heat plants,760,PJ
2023,Renewables,Industry,280,PJ
2023,Renewables,Residential,190,PJ
2023,Renewables,Commercial,180,PJ
2023,Power plants,Electricity,2100,PJ
2023,Power plants,Losses,1260,PJ
2023,Refineries,Refined fuels,1900,PJ
2023,Refineries,Losses,180,PJ
2023,Heat plants,District heat,850,PJ
2023,Heat plants,Losses,290,PJ
2023,Electricity,Grid,2100,PJ
2023,Grid,Industry,660,PJ
2023,Grid,Transport,140,PJ
2023,Grid,Residential,620,PJ
2023,Grid,Commercial,520,PJ
2023,Grid,Losses,160,PJ
2023,Refined fuels,Transport,1120,PJ
2023,Refined fuels,Industry,280,PJ
2023,Refined fuels,Residential,200,PJ
2023,Refined fuels,Commercial,150,PJ
2023,Refined fuels,Exports,150,PJ
2023,District heat,Industry,200,PJ
2023,District heat,Residential,380,PJ
2023,District heat,Commercial,220,PJ
2023,District heat,Losses,50,PJ
2024,Domestic extraction,Power plants,2080,PJ
2024,Domestic extraction,Refineries,1456,PJ
2024,Domestic extraction,Heat plants,395,PJ
2024,Domestic extraction,Industry,499,PJ
2024,Domestic extraction,Exports,291,PJ
2024,Domestic extraction,Non-energy use,395,PJ
2024,Imports,Power plants,603,PJ
2024,Imports,Refineries,707,PJ
2024,Imports,Industry,198,PJ
2024,Imports,Exports,94,PJ
2024,Imports,Non-energy use,187,PJ
2024,Renewables,Power plants,811,PJ
2024,Renewables,Heat plants,790,PJ
2024,Renewables,Industry,291,PJ
2024,Renewables,Residential,198,PJ
2024,Renewables,Commercial,187,PJ
2024,Power plants,Electricity,2184,PJ
2024,Power plants,Losses,1310,PJ
2024,Refineries,Refined fuels,1976,PJ
2024,Refineries,Losses,187,PJ
2024,Heat plants,District heat,884,PJ
2024,Heat plants,Losses,302,PJ
2024,Electricity,Grid,2184,PJ
2024,Grid,Industry,686,PJ
2024,Grid,Transport,146,PJ
2024,Grid,Residential,645,PJ
2024,Grid,Commercial,541,PJ
2024,Grid,Losses,166,PJ
2024,Refined fuels,Transport,1165,PJ
2024,Refined fuels,Industry,291,PJ
2024,Refined fuels,Residential,208,PJ
2024,Refined fuels,Commercial,156,PJ
2024,Refined fuels,Exports,156,PJ
2024,District heat,Industry,208,PJ
2024,District heat,Residential,395,PJ
2024,District heat,Commercial,229,PJ
2024,District heat,Losses,52,PJ
